EventId,DER_mass_MMC,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltaeta_jet_jet,DER_mass_jet_jet,DER_prodeta_jet_jet,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,DER_lep_eta_centrality,PRI_tau_pt,PRI_tau_eta,PRI_tau_phi,PRI_lep_pt,PRI_lep_eta,PRI_lep_phi,PRI_met,PRI_met_phi,PRI_met_sumet,PRI_jet_num,PRI_jet_leading_pt,PRI_jet_leading_eta,PRI_jet_leading_phi,PRI_jet_subleading_pt,PRI_jet_subleading_eta,PRI_jet_subleading_phi,PRI_jet_all_pt,Weight,Label,KaggleSet,KaggleWeight
100000,138.47,51.655,97.827,27.98,0.91,124.711,2.666,3.064,41.928,197.76,1.582,1.396,0.2,32.638,1.017,0.381,51.626,2.273,-2.414,16.824,-0.277,258.733,2,67.435,2.15,0.444,46.062,1.24,-2.475,113.497,0.00081448039868,s,t,0.00265331133733
100006,148.754,28.862,107.782,106.13,0.733,158.359,0.113,2.941,2.545,305.967,3.371,1.393,0.791,28.85,1.113,2.409,97.24,0.675,-0.966,38.421,-1.443,294.074,2,123.01,0.864,1.45,56.867,0.131,-2.767,179.877,0.00081448039868,s,t,0.00265331133733
100007,154.916,10.418,94.714,29.169,-999.0,-999.0,-999.0,2.897,1.526,138.178,0.365,-1.305,-999.0,78.8,0.654,1.547,28.74,0.506,-1.347,22.275,-1.761,187.299,1,30.638,-0.715,-1.724,-999.0,-999.0,-999.0,30.638,0.00572068250088,s,t,0.018636116672
100009,128.053,88.941,69.272,193.392,-999.0,-999.0,-999.0,1.609,28.859,255.123,0.599,0.538,-999.0,54.646,-1.533,0.416,32.742,-0.317,-0.636,132.678,0.845,294.741,1,167.735,-2.767,-2.514,-999.0,-999.0,-999.0,167.735,0.000461025356734,s,t,0.00150187015894
100015,111.026,32.096,75.271,23.067,-999.0,-999.0,-999.0,3.205,23.067,69.649,1.276,-1.414,-999.0,30.606,-1.107,-1.903,39.043,-1.944,1.191,19.959,2.415,122.176,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0.00572068250088,s,t,0.018636116672
100017,127.861,50.953,77.267,26.967,-999.0,-999.0,-999.0,2.833,26.967,79.503,1.586,1.401,-999.0,30.739,-0.635,2.603,48.764,-0.343,-0.862,17.557,-2.975,211.72,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.000461281573949,s,t,0.00150270483101
100023,141.481,0.736,111.581,174.075,1.955,364.344,-0.923,1.335,6.663,440.859,0.652,1.042,0.207,98.565,0.19,-1.506,64.285,1.405,-0.952,17.96,-0.973,454.785,2,195.533,1.156,1.416,82.477,-0.798,-2.785,278.009,0.000461281573949,s,t,0.00150270483101
100026,137.197,68.009,78.296,35.332,-999.0,-999.0,-999.0,2.883,0.204,115.081,1.295,1.403,-999.0,34.657,1.587,-2.231,44.897,1.664,1.17,32.07,-2.891,82.224,1,35.527,4.347,-0.169,-999.0,-999.0,-999.0,35.527,0.000461281573949,s,t,0.00150270483101
100027,111.271,27.18,70.642,144.766,4.936,1021.322,-5.834,1.795,0.367,309.992,2.848,1.306,0.696,24.899,-0.089,-2.342,70.923,-0.98,-0.783,69.364,-1.173,289.876,2,170.712,-1.961,2.22,43.458,2.974,-0.103,214.17,0.000461281573949,s,t,0.00150270483101
100028,118.104,2.633,77.31,91.388,-999.0,-999.0,-999.0,1.976,21.536,159.743,1.172,1.061,-999.0,37.999,-0.214,-2.678,44.523,-1.354,-1.064,39.141,-1.127,175.843,1,77.221,-0.049,1.426,-999.0,-999.0,-999.0,77.221,0.000461281573949,s,t,0.00150270483101
100031,121.681,6.041,73.202,198.114,2.639,295.942,-1.738,1.148,31.017,412.518,0.262,0.838,0.984,126.071,0.953,2.492,32.986,0.231,-2.899,65.09,-2.769,515.415,3,182.449,1.383,0.001,38.006,-1.257,-0.609,253.461,0.000461281573949,s,t,0.00150270483101
100032,129.186,64.045,69.499,63.165,5.087,854.799,-6.159,2.745,6.58,203.08,0.769,1.355,0.82,37.764,0.215,0.74,29.054,-0.575,-2.914,45.253,1.204,199.861,2,81.17,3.102,-0.977,55.092,-1.985,3.065,136.262,0.000461281573949,s,t,0.00150270483101
100036,134.153,23.856,100.96,9.377,-999.0,-999.0,-999.0,2.846,9.377,101.789,0.759,-1.405,-999.0,57.869,-0.428,0.614,43.919,-0.1,-2.842,11.797,-1.739,241.281,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0.00572068250088,s,t,0.018636116672
100037,155.487,61.072,125.013,2.768,-999.0,-999.0,-999.0,2.908,2.768,123.704,1.176,-1.408,-999.0,56.845,-0.935,2.009,66.859,-1.357,-1.397,16.589,0.923,95.267,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0.00572068250088,s,t,0.018636116672
100038,138.362,38.034,99.038,65.021,1.814,275.461,1.506,2.605,97.25,403.267,1.875,0.023,0.0,21.326,1.459,-1.615,39.994,-1.133,-1.869,18.093,-0.299,453.69,3,114.602,0.619,0.165,77.053,2.433,-2.637,341.947,0.00572068250088,s,t,0.018636116672
100039,120.506,22.729,88.889,35.999,0.218,167.175,5.17,2.465,32.706,294.349,1.448,1.171,0.0,39.107,-1.081,1.431,56.61,-1.185,-1.032,2.713,1.29,243.867,3,88.399,-2.168,-1.423,77.27,-2.385,1.876,198.632,0.00081448039868,s,t,0.00265331133733
100040,109.684,42.664,86.064,0.23,-999.0,-999.0,-999.0,2.745,0.23,82.944,0.939,-1.414,-999.0,42.787,-1.942,-0.574,40.158,-1.218,2.074,20.195,-2.516,59.902,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,t,0.018636116672
100042,122.516,50.183,87.682,102.403,3.28,479.59,-2.564,1.881,0.731,297.49,0.477,1.025,0.631,77.097,-0.303,-2.694,36.746,-0.758,1.764,27.921,-2.719,275.222,2,98.198,1.995,0.961,85.448,-1.285,-0.995,183.646,0.000461281573949,s,t,0.00150270483101
100046,201.473,23.002,104.041,60.49,4.437,491.375,-4.916,2.968,1.786,247.731,0.257,1.408,0.688,102.618,-1.475,2.409,26.334,-1.281,-0.913,47.249,-1.577,337.398,2,86.447,-2.142,0.298,32.332,2.295,-2.273,118.779,0.00572068250088,s,t,0.018636116672
100047,130.079,53.335,97.435,1.382,-999.0,-999.0,-999.0,3.023,1.382,93.255,1.32,-1.403,-999.0,40.193,-1.06,-0.659,53.062,-0.374,2.681,14.532,0.104,118.867,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,t,0.018636116672
100049,95.407,21.584,67.766,1.482,-999.0,-999.0,-999.0,3.042,1.482,67.894,1.087,-1.414,-999.0,32.531,0.801,1.014,35.363,0.826,-2.227,4.67,-0.233,70.691,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,t,0.018636116672
100051,104.142,37.94,69.029,50.58,3.941,411.813,-1.86,2.448,4.194,185.688,0.989,1.407,0.991,35.311,0.948,-2.167,34.912,1.605,1.758,24.104,-3.099,202.281,2,69.371,-0.548,0.57,46.094,3.392,-1.725,115.465,0.000461281573949,s,t,0.00150270483101
100057,148.523,31.911,97.497,171.074,1.209,262.61,-0.067,1.423,20.859,420.089,1.018,0.558,0.0,73.982,-1.987,-2.864,75.348,-1.992,-1.441,86.93,-1.044,521.36,2,214.449,-0.058,1.525,56.31,1.151,-1.743,270.759,0.000461281573949,s,t,0.00150270483101
100058,104.221,13.816,71.225,27.029,-999.0,-999.0,-999.0,2.836,27.029,70.783,1.005,1.389,-999.0,35.306,-2.443,-2.933,35.478,-2.046,-0.125,17.674,-0.684,149.85,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.000461281573949,s,t,0.00150270483101
100060,103.646,40.918,64.244,135.726,0.68,73.056,1.649,1.524,18.535,305.027,0.517,1.287,0.959,61.114,-0.595,1.353,31.599,-1.398,2.648,59.825,1.668,402.277,3,78.174,-1.668,-0.978,58.097,-0.989,-1.727,212.314,0.000461281573949,s,t,0.00150270483101
100061,122.934,73.141,68.069,4.647,-999.0,-999.0,-999.0,2.992,4.647,74.409,2.326,-1.361,-999.0,22.375,0.805,-1.579,52.034,0.814,1.413,25.922,-1.913,89.716,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,t,0.018636116672
100070,120.253,30.144,82.176,38.736,3.918,407.579,-3.457,2.551,46.301,243.103,1.017,1.4,0.434,39.923,1.963,0.062,40.602,1.174,-2.364,11.126,-0.788,337.559,3,59.401,1.342,-0.369,53.711,-2.577,2.14,162.577,0.000461281573949,s,t,0.00150270483101
100071,-999.0,70.619,81.224,23.097,-999.0,-999.0,-999.0,1.724,23.097,122.205,0.304,-1.178,-999.0,93.741,0.675,0.441,28.464,1.294,2.05,75.369,-2.499,169.293,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0.000461025356734,s,t,0.00150187015894
100073,92.222,16.05,64.769,3.422,-999.0,-999.0,-999.0,2.824,3.422,66.948,0.662,-1.39,-999.0,40.271,-2.097,1.567,26.677,-2.163,-1.256,13.736,-2.121,124.752,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,t,0.018636116672
100075,98.597,41.715,78.618,3.375,-999.0,-999.0,-999.0,2.409,3.375,86.58,0.62,-1.359,-999.0,53.443,-0.714,1.477,33.137,-0.668,-0.932,36.055,-2.228,135.433,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0.000461025356734,s,t,0.00150187015894
100078,132.35,65.858,106.57,124.84,5.822,1558.773,-8.423,1.931,34.787,303.37,3.479,-0.24,0.998,29.167,1.769,1.972,101.483,0.362,-2.989,37.422,-1.862,325.373,2,101.934,3.139,0.444,70.786,-2.683,-0.567,172.721,0.000461281573949,s,t,0.00150270483101
100079,123.29,52.954,76.946,129.157,-999.0,-999.0,-999.0,1.769,26.758,224.796,0.427,1.286,-999.0,76.021,0.184,-1.902,32.459,0.083,2.615,52.567,-2.277,273.452,1,116.316,-1.171,0.641,-999.0,-999.0,-999.0,116.316,0.00081448039868,s,t,0.00265331133733
100082,166.64,15.868,80.477,77.915,1.575,215.121,-0.544,2.871,28.035,410.568,0.691,1.31,0.159,39.441,-0.64,-2.622,27.269,0.793,1.174,69.34,1.541,453.141,3,85.392,-1.062,0.166,81.559,0.513,-2.255,343.858,0.000461281573949,s,t,0.00150270483101
100093,96.379,17.118,63.373,71.039,6.108,1204.243,-8.309,1.677,22.278,206.663,0.426,0.308,0.895,64.293,0.418,-2.566,27.393,0.01,2.091,36.296,1.542,261.442,2,66.27,2.045,0.05,48.707,-4.063,-1.319,114.977,0.000461281573949,s,t,0.00150270483101
100096,113.75,52.067,76.262,1.25,-999.0,-999.0,-999.0,2.962,1.25,77.982,1.469,-1.391,-999.0,31.581,-1.728,0.782,46.402,-1.721,-2.54,15.11,0.234,97.737,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0.00572068250088,s,t,0.018636116672
100097,124.575,34.558,100.197,161.051,3.243,324.597,-2.626,1.479,61.347,315.354,2.913,0.227,0.328,36.695,0.218,-0.563,106.897,1.648,-0.937,25.565,-1.611,432.241,3,97.16,-1.686,2.858,42.808,1.557,1.534,171.763,0.00572068250088,s,t,0.018636116672
100101,95.787,24.109,63.069,49.994,0.237,146.118,3.859,2.266,54.026,238.888,0.891,1.411,0.0,33.7,-1.261,1.827,30.017,-0.295,-0.223,16.769,0.911,415.991,2,135.815,-2.087,-2.199,39.356,-1.85,0.49,175.171,0.000461281573949,s,t,0.00150270483101
100103,130.123,8.251,81.732,81.065,3.022,262.128,-2.12,2.111,51.577,237.168,0.716,1.199,0.995,49.824,0.784,3.127,35.67,-0.292,1.311,35.508,1.544,363.616,3,73.26,-1.915,-1.662,41.357,1.107,1.3,151.674,0.000461281573949,s,t,0.00150270483101
100106,91.616,0.245,62.842,13.974,3.655,448.409,-1.74,3.102,7.63,203.75,0.956,0.618,0.396,32.02,0.66,0.988,30.618,0.495,-2.198,15.291,-2.187,245.168,2,78.35,-3.092,0.136,62.761,0.563,3.065,141.111,0.000461281573949,s,t,0.00150270483101
100107,109.829,3.322,65.336,52.22,2.893,211.215,3.061,3.129,1.148,162.336,1.235,1.402,0.543,29.094,1.424,-2.994,35.932,1.139,0.122,45.334,0.04,148.394,2,55.814,3.716,-2.343,41.496,0.824,1.908,97.31,0.000461281573949,s,t,0.00150270483101
100110,139.756,33.666,92.662,122.937,-999.0,-999.0,-999.0,1.879,5.482,244.124,1.785,1.369,-999.0,41.723,1.924,-0.002,74.494,1.366,1.792,46.028,1.208,222.506,1,127.907,1.837,-1.936,-999.0,-999.0,-999.0,127.907,0.00081448039868,s,t,0.00265331133733
100115,134.169,22.734,93.298,11.98,-999.0,-999.0,-999.0,3.466,11.98,72.805,1.17,-1.414,-999.0,33.546,0.703,-2.647,39.259,-0.774,0.501,9.197,-0.781,136.35,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.000461281573949,s,t,0.00150270483101
100118,118.996,2.342,72.142,91.566,0.313,281.954,0.882,2.267,101.716,432.48,1.057,0.678,0.0,25.247,0.974,-1.767,26.686,-1.287,-1.941,40.108,-2.013,500.167,3,148.174,1.109,-1.21,140.818,0.796,1.344,380.547,0.000461281573949,s,t,0.00150270483101
100119,116.446,10.168,85.445,1.035,-999.0,-999.0,-999.0,3.025,1.035,84.65,0.719,-1.387,-999.0,49.247,0.367,1.085,35.402,-0.086,-2.207,15.307,-1.767,124.793,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,t,0.018636116672
100121,114.254,13.103,72.166,102.395,-999.0,-999.0,-999.0,2.162,44.56,158.031,1.918,0.693,-999.0,27.105,-0.296,0.689,51.977,0.651,-1.254,61.329,-1.487,258.106,1,78.949,-1.634,2.421,-999.0,-999.0,-999.0,78.949,0.000461281573949,s,t,0.00150270483101
100125,129.803,5.799,96.706,154.97,4.023,580.409,-0.919,1.512,26.316,347.889,0.227,0.721,0.636,147.537,-0.611,-2.938,33.449,-0.415,-1.439,15.647,-1.185,430.552,2,111.193,0.243,0.454,55.71,-3.779,0.213,166.904,0.000461281573949,s,t,0.00150270483101
100127,97.352,11.453,60.109,133.184,-999.0,-999.0,-999.0,1.411,1.566,212.501,0.66,0.76,-999.0,48.473,0.53,-1.267,32.013,1.924,-1.05,53.497,-1.328,218.335,1,132.014,1.418,1.894,-999.0,-999.0,-999.0,132.014,0.00572068250088,s,t,0.018636116672
100135,139.191,19.102,96.308,69.348,4.761,1045.021,-5.662,2.38,15.847,286.643,1.236,1.354,0.892,41.078,-0.275,1.878,50.775,0.87,-2.32,23.014,-2.886,351.091,2,113.256,2.447,-0.797,81.532,-2.314,1.503,194.789,0.000461281573949,s,t,0.00150270483101
100139,112.608,34.17,69.649,88.915,-999.0,-999.0,-999.0,1.821,21.597,171.593,0.959,0.063,-999.0,44.677,-0.847,-2.623,42.855,-1.125,1.861,69.794,1.225,196.929,1,84.061,-0.771,-1.501,-999.0,-999.0,-999.0,84.061,0.00081448039868,s,t,0.00265331133733
100147,108.351,28.257,70.581,185.138,2.594,301.022,-0.971,1.149,3.462,304.978,1.13,1.405,0.524,57.238,1.011,1.677,64.67,1.885,0.932,71.673,1.35,370.728,2,115.476,-0.454,-1.756,67.594,2.14,-1.937,183.07,0.000461281573949,s,t,0.00150270483101
100148,95.635,11.036,61.222,32.741,-999.0,-999.0,-999.0,2.919,1.266,92.087,1.157,-1.248,-999.0,28.062,1.898,0.844,32.456,2.315,-2.044,29.166,-2.405,113.041,1,31.569,-3.444,0.982,-999.0,-999.0,-999.0,31.569,0.000461281573949,s,t,0.00150270483101
100150,128.167,52.145,86.912,103.373,0.9,47.636,4.808,2.277,1.936,212.505,0.33,1.205,0.09,81.818,-1.122,2.586,27.029,-1.54,-1.459,35.029,2.802,292.582,2,72.406,-2.689,-0.295,31.252,-1.788,-0.287,103.658,0.00572068250088,s,t,0.018636116672
100151,81.279,29.474,56.067,35.277,-999.0,-999.0,-999.0,2.498,1.548,93.9,1.167,1.413,-999.0,27.332,-0.38,-1.162,31.905,-0.45,2.624,16.613,-2.27,131.511,1,34.663,1.713,0.633,-999.0,-999.0,-999.0,34.663,0.00572068250088,s,t,0.018636116672
100158,121.672,15.675,95.441,95.015,3.015,329.862,-2.142,1.572,33.807,398.356,1.195,-1.137,0.691,61.65,0.475,-1.312,73.676,0.555,-2.882,1.452,1.682,375.842,3,93.768,1.146,1.909,53.862,-1.87,-0.189,263.03,0.00081448039868,s,t,0.00265331133733
100159,66.479,30.044,49.848,2.267,-999.0,-999.0,-999.0,2.746,2.267,49.677,1.136,-1.405,-999.0,23.252,-1.891,3.034,26.425,-2.361,0.329,10.407,-1.938,68.861,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0.00572068250088,s,t,0.018636116672
100166,104.449,27.09,74.349,4.329,-999.0,-999.0,-999.0,3.217,4.329,67.815,1.053,1.405,-999.0,33.033,0.78,2.244,34.781,-0.093,-0.943,5.337,2.416,122.548,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0.00572068250088,s,t,0.018636116672
100167,145.804,25.979,99.359,23.894,-999.0,-999.0,-999.0,3.11,23.894,98.884,0.642,1.414,-999.0,60.222,-0.494,1.324,38.662,-0.983,-1.747,12.586,-0.488,180.789,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,t,0.018636116672
100179,106.257,52.837,79.097,27.744,-999.0,-999.0,-999.0,3.318,27.744,67.904,0.927,-1.414,-999.0,35.238,-1.524,2.313,32.666,-0.388,-0.804,26.793,-3.012,131.547,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,t,0.018636116672
100182,142.674,18.26,90.533,118.17,-999.0,-999.0,-999.0,2.359,4.749,225.855,2.122,0.451,-999.0,33.561,0.818,2.507,71.225,0.936,-1.42,72.89,-1.166,213.577,1,121.069,1.697,1.707,-999.0,-999.0,-999.0,121.069,0.000461025356734,s,t,0.00150187015894
100183,82.336,49.44,54.143,25.746,0.918,69.669,4.662,2.803,22.513,117.53,1.104,1.251,0.0,25.759,-0.871,1.968,28.44,-0.513,-0.812,22.98,1.814,199.711,2,32.304,2.666,2.319,31.027,1.749,-1.407,63.331,0.00572068250088,s,t,0.018636116672
100190,111.688,28.402,73.031,9.849,-999.0,-999.0,-999.0,3.216,9.849,66.451,1.408,-1.414,-999.0,27.593,-0.776,2.24,38.858,-1.727,-0.832,7.514,-2.794,113.187,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,t,0.018636116672
100193,-999.0,75.248,23.191,1.677,-999.0,-999.0,-999.0,0.857,1.677,55.613,1.14,-1.407,-999.0,25.987,-1.746,2.637,29.626,-1.963,1.808,49.452,-0.964,63.891,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00081448039868,s,t,0.00265331133733
100199,141.908,18.943,96.728,60.187,-999.0,-999.0,-999.0,2.829,0.641,159.717,1.571,1.372,-999.0,38.554,-1.025,-2.323,60.565,-1.364,1.151,32.987,1.578,173.671,1,60.598,1.354,-1.531,-999.0,-999.0,-999.0,60.598,0.000461281573949,s,t,0.00150270483101
100200,107.067,1.939,70.444,54.621,-999.0,-999.0,-999.0,2.079,30.366,151.198,0.588,1.08,-999.0,53.239,-0.284,-3.091,31.324,-0.34,1.113,20.496,1.19,290.199,1,66.634,-0.359,-0.485,-999.0,-999.0,-999.0,66.634,0.00572068250088,s,t,0.018636116672
100201,82.067,6.145,62.668,47.465,-999.0,-999.0,-999.0,2.988,47.465,62.591,0.963,-1.0,-999.0,31.887,1.134,2.65,30.704,1.316,-0.333,48.785,-0.492,109.664,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00081448039868,s,t,0.00265331133733
100204,119.663,13.864,86.638,3.154,-999.0,-999.0,-999.0,3.027,3.154,85.525,0.746,-1.406,-999.0,48.972,0.254,1.948,36.553,-0.206,-1.343,11.344,-0.648,95.409,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,t,0.018636116672
100208,127.266,84.327,107.259,108.411,-999.0,-999.0,-999.0,1.613,3.209,244.501,1.653,-0.264,-999.0,51.775,-0.08,1.067,85.607,-1.201,-0.093,23.608,2.34,285.079,1,107.118,-2.261,-2.589,-999.0,-999.0,-999.0,107.118,0.000461281573949,s,t,0.00150270483101
100210,122.121,29.353,82.872,1.998,-999.0,-999.0,-999.0,2.713,1.998,85.311,0.509,-1.356,-999.0,56.553,-2.391,-1.81,28.758,-1.709,1.847,33.419,0.861,126.036,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.000461025356734,s,t,0.00150187015894
100219,137.313,0.051,97.221,115.169,4.035,539.363,-3.332,1.735,1.478,272.101,1.191,1.001,0.988,58.389,1.094,-1.308,69.554,1.077,-3.043,39.689,-3.042,296.203,2,75.106,-1.158,0.02,69.051,2.876,1.316,144.157,0.000461281573949,s,t,0.00150270483101
100220,121.57,10.66,89.98,68.274,-999.0,-999.0,-999.0,2.341,2.503,171.871,1.867,1.261,-999.0,35.392,0.64,0.403,66.089,0.953,2.723,19.384,2.424,214.805,1,70.39,2.328,-0.92,-999.0,-999.0,-999.0,70.39,0.000461281573949,s,t,0.00150270483101
100221,137.921,25.015,106.979,0.379,-999.0,-999.0,-999.0,3.243,0.379,98.009,1.058,-1.414,-999.0,47.616,-0.599,0.254,50.394,-1.449,-2.875,3.164,0.541,52.676,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,t,0.018636116672
100224,139.754,31.656,85.882,45.151,-999.0,-999.0,-999.0,2.944,1.936,123.217,0.805,1.409,-999.0,44.21,1.756,-0.456,35.585,0.892,3.013,35.501,-2.347,185.77,1,43.422,3.789,1.12,-999.0,-999.0,-999.0,43.422,0.00572068250088,s,t,0.018636116672
100226,110.318,51.809,93.296,10.96,-999.0,-999.0,-999.0,2.621,10.96,92.287,1.187,-1.41,-999.0,42.195,-1.554,2.977,50.092,-0.875,0.445,17.773,-1.658,96.461,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,t,0.018636116672
100228,105.182,60.438,93.19,7.604,-999.0,-999.0,-999.0,2.377,7.604,99.829,0.933,-1.406,-999.0,51.648,0.325,1.237,48.181,0.071,-2.683,33.424,-0.978,107.041,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0.00572068250088,s,t,0.018636116672
100229,139.275,80.932,93.968,10.984,-999.0,-999.0,-999.0,3.305,10.984,86.357,2.417,-1.404,-999.0,25.274,1.121,0.043,61.082,-0.112,3.11,27.304,-0.302,161.247,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.0,0.00572068250088,s,t,0.018636116672
100231,85.049,42.88,61.457,1.827,-999.0,-999.0,-999.0,2.85,1.827,62.756,1.428,-1.383,-999.0,25.846,-0.151,1.796,36.91,-0.367,-1.646,13.145,1.033,93.494,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.00572068250088,s,t,0.018636116672
100235,129.351,11.258,87.187,58.502,-999.0,-999.0,-999.0,2.342,6.921,150.91,0.757,1.3,-999.0,49.639,-1.755,-0.636,37.576,-0.79,-2.769,20.702,-2.363,176.068,1,63.694,2.036,1.328,-999.0,-999.0,-999.0,63.694,0.000461281573949,s,t,0.00150270483101
100236,126.547,48.914,81.235,195.293,0.916,128.741,2.503,1.196,7.391,357.961,0.9,1.368,0.792,74.547,-2.347,-2.702,67.11,-1.868,2.486,74.667,-3.092,350.755,2,126.04,-2.105,-0.322,90.264,-1.189,0.405,216.304,0.000461281573949,s,t,0.00150270483101
100238,139.899,17.434,92.993,131.66,-999.0,-999.0,-999.0,1.912,1.747,236.265,0.338,1.414,-999.0,78.965,-1.439,-0.987,26.668,0.138,0.093,38.182,-0.46,240.129,1,130.632,1.114,2.496,-999.0,-999.0,-999.0,130.632,0.000461281573949,s,t,0.00150270483101
100245,159.592,13.063,88.238,275.137,3.342,1056.395,-2.686,1.064,15.092,627.929,0.488,1.189,0.883,122.052,-0.431,2.616,59.563,-0.916,1.67,119.325,1.825,768.799,2,333.979,1.345,-1.287,112.337,-1.997,1.045,446.315,0.000461281573949,s,t,0.00150270483101
100246,107.392,19.776,33.155,230.029,3.483,992.085,-2.822,1.023,20.894,466.812,0.704,1.413,1.0,38.151,-0.32,0.288,26.865,0.494,0.908,168.125,0.613,555.743,2,308.917,-1.282,-2.686,92.879,2.202,-0.139,401.796,0.000461281573949,s,t,0.00150270483101
100247,106.026,49.785,66.761,80.68,-999.0,-999.0,-999.0,1.978,38.259,178.438,1.03,1.324,-999.0,37.939,-0.619,0.263,39.081,0.005,-1.615,37.657,-0.202,269.39,1,101.418,0.025,2.311,-999.0,-999.0,-999.0,101.418,0.00572068250088,s,t,0.018636116672
100248,102.9,3.885,69.112,90.656,0.661,115.48,8.697,2.189,33.205,240.088,2.362,0.898,0.0,25.21,-1.588,-3.092,59.535,-1.403,1.01,44.032,0.934,198.739,3,65.292,-2.637,-0.873,56.255,-3.298,-3.013,155.343,0.00572068250088,s,t,0.018636116672
100249,91.255,34.474,69.843,113.02,1.124,103.034,0.142,1.298,5.26,253.423,0.299,-0.086,0.961,93.451,0.42,-2.811,27.953,-0.789,3.002,20.992,1.419,374.101,2,89.113,-1.239,-0.341,42.907,-0.115,0.79,132.019,0.00572068250088,s,t,0.018636116672
